Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
SUIUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,18.756044342799918,45,64.44444444444444,reports_walkforward/returns_SUIUSDT_15min.pkl,6,60,56,4,8,40,False
SUIUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.703508935600075,6,50.0,reports_walkforward/returns_SUIUSDT_15min.pkl,6,8,80,6,22,44,False
SUIUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,6.4113389619999905,20,85.0,reports_walkforward/returns_SUIUSDT_15min.pkl,4,8,76,7,44,12,False
SUIUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-7.387139321200009,2,50.0,reports_walkforward/returns_SUIUSDT_15min.pkl,14,62,62,6,62,66,False
SUIUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.344788073999986,13,76.92307692307693,reports_walkforward/returns_SUIUSDT_15min.pkl,8,22,62,5,10,30,False
SUIUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.83461533400007,31,74.19354838709677,reports_walkforward/returns_SUIUSDT_15min.pkl,6,30,58,6,4,28,False
SUIUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-8.224394989200013,6,66.66666666666666,reports_walkforward/returns_SUIUSDT_15min.pkl,8,12,74,8,44,64,False
SUIUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.777610798800012,2,0.0,reports_walkforward/returns_SUIUSDT_15min.pkl,14,18,74,7,68,34,False
SUIUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-13.48926944519999,2,0.0,reports_walkforward/returns_SUIUSDT_15min.pkl,18,24,70,6,42,18,False
SUIUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.3789325672000299,4,50.0,reports_walkforward/returns_SUIUSDT_15min.pkl,14,26,68,9,76,58,False
SUIUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.541195925200024,1,0.0,reports_walkforward/returns_SUIUSDT_15min.pkl,12,18,72,9,6,72,False
SUIUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.247312664000023,5,80.0,reports_walkforward/returns_SUIUSDT_15min.pkl,18,66,58,9,28,66,False
SUIUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.5420015367999742,3,100.0,reports_walkforward/returns_SUIUSDT_15min.pkl,8,4,60,2,52,12,True
SUIUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,8.07575330000001,5,80.0,reports_walkforward/returns_SUIUSDT_15min.pkl,6,48,62,9,74,54,True
SUIUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.30137530800002,3,66.66666666666666,reports_walkforward/returns_SUIUSDT_15min.pkl,18,18,72,7,20,78,True
SUIUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,4.313335658000028,5,60.0,reports_walkforward/returns_SUIUSDT_15min.pkl,8,28,68,9,32,60,True
SUIUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-3.1230913167999974,7,71.42857142857143,reports_walkforward/returns_SUIUSDT_15min.pkl,18,10,64,3,6,48,True
SUIUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.8608849211999807,14,71.42857142857143,reports_walkforward/returns_SUIUSDT_15min.pkl,12,8,68,3,64,74,True
SUIUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,12.559437311199995,8,87.5,reports_walkforward/returns_SUIUSDT_15min.pkl,14,62,62,8,20,78,True
SUIUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,17.09271175680003,7,57.14285714285714,reports_walkforward/returns_SUIUSDT_15min.pkl,4,12,78,3,70,78,True
SUIUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.2767013359999977,4,75.0,reports_walkforward/returns_SUIUSDT_15min.pkl,10,66,64,4,30,14,False
SUIUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.452541740799985,5,60.0,reports_walkforward/returns_SUIUSDT_15min.pkl,10,38,66,3,44,72,False
SUIUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,48.48004514240005,9,88.88888888888889,reports_walkforward/returns_SUIUSDT_15min.pkl,18,36,64,5,62,46,False
SUIUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-4.58745092720001,1,0.0,reports_walkforward/returns_SUIUSDT_15min.pkl,12,12,82,4,58,14,False
SUIUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,27.288762593199944,9,66.66666666666666,reports_walkforward/returns_SUIUSDT_15min.pkl,6,50,66,4,42,62,False
SUIUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-0.4851064295999796,33,75.75757575757575,reports_walkforward/returns_SUIUSDT_15min.pkl,12,34,52,4,8,18,False
SUIUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,6.91212547319997,12,83.33333333333334,reports_walkforward/returns_SUIUSDT_15min.pkl,16,24,64,6,12,20,False
SUIUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.0854825519999176,26,76.92307692307693,reports_walkforward/returns_SUIUSDT_15min.pkl,18,8,64,6,60,76,False
SUIUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.252532877600057,12,75.0,reports_walkforward/returns_SUIUSDT_15min.pkl,6,14,70,7,34,60,False
SUIUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.3868043659999265,22,68.18181818181817,reports_walkforward/returns_SUIUSDT_15min.pkl,16,50,54,9,30,48,False
SUIUSDT,15min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-16.386458362400003,3,33.33333333333333,reports_walkforward/returns_SUIUSDT_15min.pkl,10,38,64,8,18,32,False
SUIUSDT,15min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,5.8084147324000135,3,66.66666666666666,reports_walkforward/returns_SUIUSDT_15min.pkl,18,56,60,4,44,40,True
